B::MMU.List.PageTable_0xfffff80000000000--0xfffff80400000000
__________________address________________|_physical________________________________|sec|_d_|_size____|_permissions____________________|_glb|_shr|_pageflags_(remapped)___________|
     C:FFFFF80000000000--FFFFF8010B7FFFFF|                                         |   |   |         |                                |    |    |                                |
     C:FFFFF8010B800000--FFFFF8010B800FFF|     I:00000000FE1B7000--00000000FE1B7FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B801000--FFFFF8010B801FFF|     I:00000000FE1B6000--00000000FE1B6FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B802000--FFFFF8010B802FFF|     I:00000000FE1B5000--00000000FE1B5FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B803000--FFFFF8010B803FFF|     I:00000000FE1B4000--00000000FE1B4FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B804000--FFFFF8010B804FFF|     I:00000000FE1B3000--00000000FE1B3FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B805000--FFFFF8010B805FFF|     I:00000000FE1B2000--00000000FE1B2FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B806000--FFFFF8010B806FFF|     I:00000000FE1B1000--00000000FE1B1FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B807000--FFFFF8010B807FFF|     I:00000000FE1B0000--00000000FE1B0FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B808000--FFFFF8010B808FFF|     I:00000000FE1AF000--00000000FE1AFFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B809000--FFFFF8010B809FFF|     I:00000000FE1AE000--00000000FE1AEFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B80A000--FFFFF8010B80AFFF|     I:00000000FE1AD000--00000000FE1ADFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B80B000--FFFFF8010B80BFFF|     I:00000000FE1AC000--00000000FE1ACFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B80C000--FFFFF8010B80CFFF|     I:00000000FE1AB000--00000000FE1ABFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B80D000--FFFFF8010B80DFFF|     I:00000000FE1AA000--00000000FE1AAFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B80E000--FFFFF8010B80EFFF|     I:00000000FE1A9000--00000000FE1A9FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B80F000--FFFFF8010B80FFFF|     I:00000000FE1A8000--00000000FE1A8FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B810000--FFFFF8010B810FFF|     I:00000000FE1A7000--00000000FE1A7FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B811000--FFFFF8010B811FFF|     I:00000000FE1A6000--00000000FE1A6FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B812000--FFFFF8010B812FFF|     I:00000000FE1A5000--00000000FE1A5FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B813000--FFFFF8010B813FFF|     I:00000000FE1A4000--00000000FE1A4FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B814000--FFFFF8010B814FFF|     I:00000000FE1A3000--00000000FE1A3FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B815000--FFFFF8010B815FFF|     I:00000000FE1A2000--00000000FE1A2FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B816000--FFFFF8010B816FFF|     I:00000000FE1A1000--00000000FE1A1FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B817000--FFFFF8010B817FFF|     I:00000000FE1A0000--00000000FE1A0FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B818000--FFFFF8010B818FFF|     I:00000000FE19F000--00000000FE19FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B819000--FFFFF8010B819FFF|     I:00000000FE19E000--00000000FE19EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B81A000--FFFFF8010B81AFFF|     I:00000000FE19D000--00000000FE19DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B81B000--FFFFF8010B81BFFF|     I:00000000FE19C000--00000000FE19CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B81C000--FFFFF8010B81CFFF|     I:00000000FE19B000--00000000FE19BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B81D000--FFFFF8010B81DFFF|     I:00000000FE19A000--00000000FE19AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B81E000--FFFFF8010B81EFFF|     I:00000000FE199000--00000000FE199FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B81F000--FFFFF8010B81FFFF|     I:00000000FE198000--00000000FE198FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B820000--FFFFF8010B820FFF|     I:00000000FE197000--00000000FE197FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B821000--FFFFF8010B821FFF|     I:00000000FE196000--00000000FE196FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B822000--FFFFF8010B822FFF|     I:00000000FE195000--00000000FE195FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B823000--FFFFF8010B823FFF|     I:00000000FE194000--00000000FE194FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B824000--FFFFF8010B824FFF|     I:00000000FE193000--00000000FE193FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B825000--FFFFF8010B825FFF|     I:00000000FE192000--00000000FE192FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B826000--FFFFF8010B826FFF|     I:00000000FE191000--00000000FE191FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B827000--FFFFF8010B827FFF|     I:00000000FE190000--00000000FE190FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B828000--FFFFF8010B828FFF|     I:00000000FE18F000--00000000FE18FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B829000--FFFFF8010B829FFF|     I:00000000FE18E000--00000000FE18EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B82A000--FFFFF8010B82AFFF|     I:00000000FE18D000--00000000FE18DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B82B000--FFFFF8010B82BFFF|     I:00000000FE18C000--00000000FE18CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B82C000--FFFFF8010B82CFFF|     I:00000000FE18B000--00000000FE18BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B82D000--FFFFF8010B82DFFF|     I:00000000FE18A000--00000000FE18AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B82E000--FFFFF8010B82EFFF|     I:00000000FE189000--00000000FE189FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B82F000--FFFFF8010B82FFFF|     I:00000000FE188000--00000000FE188FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B830000--FFFFF8010B830FFF|     I:00000000FE187000--00000000FE187FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B831000--FFFFF8010B831FFF|     I:00000000FE186000--00000000FE186FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B832000--FFFFF8010B832FFF|     I:00000000FE185000--00000000FE185FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B833000--FFFFF8010B833FFF|     I:00000000FE184000--00000000FE184FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
